Designator,Mid X,Mid Y,Rotation,Layer
C1,150.0,-61.4,0.0,top
C2,150.0,-71.4,0.0,top
C3,150.0,-81.4,0.0,top
C4,150.0,-91.4,0.0,top
C5,147.5,-101.5,120.0,top
C6,150.0,-111.4,0.0,top
C7,150.0,-121.4,0.0,top
C8,150.0,-131.4,0.0,top
LED1,150.0,-65.0,180.0,top
LED2,150.0,-75.0,180.0,top
LED3,150.0,-85.0,180.0,top
LED4,150.0,-95.0,180.0,top
LED5,150.0,-105.0,180.0,top
LED6,150.0,-115.0,180.0,top
LED7,150.0,-125.0,180.0,top
LED8,150.0,-135.0,180.0,top
