Designator,Mid X,Mid Y,Rotation,Layer
C1,150.0,-81.5,0.0,top
C2,150.0,-91.5,0.0,top
C3,150.0,-108.5,0.0,top
C4,150.0,-111.5,0.0,top
LED1,150.0,-85.0,180.0,top
LED2,150.0,-95.0,180.0,top
LED3,150.0,-105.0,180.0,top
LED4,150.0,-115.0,180.0,top
